opis_id,name,address,city,state,lat,lon,price_per_gallon,geocode_source
7,WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",Big Cabin,OK,36.534,-95.2246,3.00733333,city_centroid
9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,43.9838,-90.4733,3.28733333,city_centroid
20,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,32.9306,-112.7468,3.899,city_centroid
28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,35.36713,-94.39602,3.399,city_centroid
35,ACI TRUCK STOP,US-46,Columbia,NJ,40.9388,-75.055,3.079,city_centroid
36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,38.7857,-78.6803,2.899,city_centroid
44,CIRCLE K #2612042,"I-35,  EXIT 271",Jarrell,TX,30.8119,-97.5942,2.919,city_centroid
46,PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,32.3836,-85.9162,3.154,city_centroid
49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,38.882693735679,-85.818780044878,3.959,census
50,TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,41.25197,-95.85367,3.72566666,city_centroid
56,TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,46.8436,-100.2744,3.51566666,city_centroid
75,Good 2 Go #709,US-50,Montrose,CO,38.4377,-107.89977,3.424,city_centroid
77,OASIS TRAVEL PLAZA,US-13,Laurel,DE,38.5537,-75.5631,3.229,city_centroid
79,DELAWARE TRUCK PLAZA,US-13 & US-40,New Castle,DE,39.6065,-75.60493,3.249,city_centroid
81,One9 #89,"I-75, EXIT 224",Ellenton,FL,27.5382,-82.5006,3.439,city_centroid
85,DOWNIEVILLE FUEL STOP,"I-70, EXIT 234",Dumont,CO,39.7647,-105.6003,3.459,city_centroid
91,MOLLYS FOOD & FUEL,"I-20 & ST 22, EXIT 55",Crawfordville,GA,33.5708,-82.8872,3.499,city_centroid
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,43.3553,-83.8549,3.269,city_centroid
118,Lupton Truck Stop #567,"I-40, EXIT 359",Lupton,AZ,35.3539,-109.0537,3.299,city_centroid
121,PETRO STOPPING CENTER #306,"I-10, EXIT 200",Eloy,AZ,32.7509,-111.5833,3.474,city_centroid
127,CIRCLE K #4700095,US-41,Henderson,KY,37.8173,-87.58115,3.609,city_centroid
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham,IL,39.1217,-88.5611,3.349,city_centroid
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,41.4162,-90.0225,3.389,city_centroid
147,SPEEDWAY #8039,"I-69, EXIT 234 & SR-67",Daleville,IN,40.1257,-85.511,3.624,city_centroid
149,RAYS TRUCK WASH,"I-69, EXIT 309 & US-30",Fort Wayne,IN,41.08998,-85.10016,3.59233333,city_centroid
151,CUBBYS #2101,"I-80, EXIT 211 & SR-47",Gothenburg,NE,40.94,-100.1547,3.13233333,city_centroid
159,PILOT TRAVEL CENTER #87,"I-10, EXIT 343",Jacksonville,FL,30.31193,-81.65332,3.859,city_centroid
160,PILOT TRAVEL CENTERS #79,"I-12, EXIT 10 AT MILE 10",Denham Springs,LA,30.46833,-90.8833,3.23233333,city_centroid
164,FLYING J TRAVEL PLAZA #650,"I-94, EXIT 15 B",Lake Station,IN,41.5686,-87.2622,3.809,city_centroid
167,FLYING J TRAVEL PLAZA #653,RT 2 & I-65 EXIT 240,Hebron,IN,41.3155,-87.2088,3.43566666,city_centroid
174,Hop-In Food Stores,US-59 & SR-224,Nacogdoches,TX,31.65168,-94.6163,2.859,city_centroid
184,SAPP BROS TRAVEL CENTER,"I-29 & I-80, EXIT 1B",Council Bluffs,IA,41.25197,-95.85367,3.719,city_centroid
186,COFFEE CUP FUEL STOP #5,"I-90, EXIT 154 & US-16",Moorcroft,WY,44.4154,-104.8389,3.239,city_centroid
187,DUDLEYS CORNER,"I-35, EXIT 165 & SR-3",Latimer,IA,42.748822462585,-95.082539532188,3.23233333,census
191,KUM & GO #0302,"I-35, EXIT 193 & SR 106",Clear Lake,IA,43.1406,-93.385,3.18566666,city_centroid
192,Brew Stuart Truckstop,"I-80, EXIT 93",Stuart,IA,41.5033,-94.3186,3.099,city_centroid
195,PETRO STOPPING CENTER #311,"I-40 & I-55, EXIT 280",West Memphis,AR,35.14745,-90.1812,3.36733333,city_centroid
198,SINCLAIR,"I-76, EXIT 115",Atwood,CO,40.5082,-103.2749,3.299,city_centroid
199,PETRO STOPPING CENTER #366,"I-70, EXIT 252",Salina,KS,38.832,-97.62675,3.80566666,city_centroid
203,PILOT TRAVEL CENTER #31,"I-80/94, EXIT 2",Highland,IN,41.55,-87.4569,3.799,city_centroid
207,MARATHON,SR-32,Sardinia,OH,38.9832,-83.7966,3.56566666,city_centroid
216,CIRCLE K #2721593,"I-10, EXIT 50",Ocean Springs,MS,30.42585,-88.80395,3.41566666,city_centroid
