city,state,lat,lng
aaronsburg,PA,40.8987,-77.4562
abbeville,AL,31.5755,-85.279
abbeville,GA,31.9648,-83.3068
abbeville,LA,29.96065,-92.18795
abbeville,MS,34.4719,-89.4475
abbeville,SC,34.1819,-82.3785
abbot,ME,45.2345,-69.5699
abbotsford,WI,44.9641,-90.2994
abbott,TX,31.8916,-97.0671
abbottstown,PA,39.8881,-76.9931
abbyville,KS,37.9626,-98.2071
abell,MD,38.2471,-76.7481
abercrombie,ND,46.4479,-96.7278
aberdeen,ID,43.0049,-112.84
aberdeen,KY,37.2539,-86.6817
aberdeen,MD,39.5109,-76.1805
aberdeen,MS,33.8284,-88.538
aberdeen,NC,35.1216,-79.445
aberdeen,OH,38.6709,-83.7637
aberdeen,SD,45.52785,-98.4188
aberdeen,WA,46.9843,-123.7963
aberdeen proving ground,MD,39.4771,-76.1208
abernant,AL,33.311,-87.1898
abernathy,TX,33.85,-101.8611
abie,NE,41.3479,-96.9563
abilene,KS,38.9371,-97.2063
abilene,TX,32.44656,-99.73943
abingdon,IL,40.8023,-90.4009
abingdon,MD,39.4744,-76.2997
abingdon,VA,36.68327,-81.9852
abington,CT,41.8473,-72.0253
abington,MA,42.1167,-70.9543
abington,PA,40.1238,-75.1148
abiquiu,NM,36.1769,-106.2449
abita springs,LA,30.4837,-90.0041
abrams,WI,44.7869,-88.0571
absaraka,ND,46.9763,-97.4069
absarokee,MT,45.5154,-109.4692
absecon,NJ,39.44815,-74.4762
acampo,CA,38.2004,-121.2186
accident,MD,39.6355,-79.3085
accokeek,MD,38.672,-77.0162
accomac,VA,37.7159,-75.6803
accord,MA,42.1745,-70.8837
accord,NY,41.8083,-74.2353
accoville,WV,37.7687,-81.8371
ace,TX,30.5209,-94.8221
achille,OK,33.8396,-96.3648
achilles,VA,37.2882,-76.426
ackerly,TX,32.5273,-101.716
ackerman,MS,33.3517,-89.2014
ackley,IA,42.5527,-93.0608
ackworth,IA,41.3737,-93.3767
acme,LA,31.3016,-91.8216
acme,MI,44.7894,-85.4884
acme,PA,40.1201,-79.4051
acme,WA,48.6752,-122.1914
acosta,PA,40.1104,-79.0689
acra,NY,42.3304,-74.0857
acton,CA,34.4835,-118.1959
acton,MA,42.4801,-71.44055
acton,ME,43.5494,-70.9307
acton,MT,45.9291,-108.6888
acushnet,MA,41.6997,-70.9087
acworth,GA,34.07315,-84.61855
acworth,NH,43.196,-72.3001
ada,MI,42.9548,-85.48692
ada,MN,47.3253,-96.5973
ada,OH,40.7709,-83.8154
ada,OK,34.77725,-96.68535
adah,PA,39.8965,-79.922
adair,IA,41.5137,-94.6444
adair,IL,40.3852,-90.5037
adair,OK,36.4115,-95.2732
adairsville,GA,34.3595,-84.9176
adairville,KY,36.6914,-86.8585
adak,AK,51.874,-176.634
adamant,VT,44.3575,-72.5046
adams,KY,38.0741,-82.7447
adams,MA,42.6223,-73.1172
adams,MN,43.5591,-92.7305
adams,ND,48.4223,-98.0867
adams,NE,40.4576,-96.5396
adams,NY,43.8062,-76.049
adams,OK,36.755,-101.078
adams,OR,45.7674,-118.5625
adams,TN,36.5582,-87.1226
adams,WI,43.8967,-89.8219
adams basin,NY,43.1953,-77.8559
adams center,NY,43.8631,-76.0041
adams run,SC,32.779,-80.3288
adamsburg,PA,40.3126,-79.6565
adamstown,MD,39.291,-77.4552
adamstown,PA,40.2423,-76.0577
adamsville,AL,33.5884,-86.9597
adamsville,OH,40.0793,-81.8718
adamsville,PA,41.5067,-80.3765
adamsville,RI,41.5301,-71.2841
adamsville,TN,35.2556,-88.4134
addieville,IL,38.3815,-89.5794
addington,OK,34.2445,-97.967
addis,LA,30.3557,-91.2613
addison,AL,34.2056,-87.1948
addison,IL,41.9335,-88.0054
addison,ME,44.583,-67.7146
addison,MI,42.0036,-84.3122
addison,NY,42.0983,-77.266
addison,PA,39.7476,-79.3454
addison,TX,32.96,-96.8385
addy,WA,48.3364,-117.9579
addyston,OH,39.1374,-84.7096
adel,GA,31.1251,-83.4213
